enterprise,april_clover_content_class_pct,timing,chemical_N_kg_ha,annual_table_total_kg_N_ha,source_id,notes
dairy_grazing,10,mid_May,15,150,TEAGASC_CLOVER_DAIRY_TODAYS_FARM_2026,SW=soiled water in source table where zero chemical N. Legal N ceiling always overrides. No interpolation between clover classes.
dairy_grazing,10,mid_Jun,15,150,TEAGASC_CLOVER_DAIRY_TODAYS_FARM_2026,SW=soiled water in source table where zero chemical N. Legal N ceiling always overrides. No interpolation between clover classes.
dairy_grazing,10,mid_Jul,10,150,TEAGASC_CLOVER_DAIRY_TODAYS_FARM_2026,SW=soiled water in source table where zero chemical N. Legal N ceiling always overrides. No interpolation between clover classes.
dairy_grazing,10,mid_Aug,15,150,TEAGASC_CLOVER_DAIRY_TODAYS_FARM_2026,SW=soiled water in source table where zero chemical N. Legal N ceiling always overrides. No interpolation between clover classes.
dairy_grazing,10,mid_Sep,20,150,TEAGASC_CLOVER_DAIRY_TODAYS_FARM_2026,SW=soiled water in source table where zero chemical N. Legal N ceiling always overrides. No interpolation between clover classes.
dairy_grazing,15,Feb,20,130,TEAGASC_CLOVER_DAIRY_TODAYS_FARM_2026,SW=soiled water in source table where zero chemical N. Legal N ceiling always overrides. No interpolation between clover classes.
dairy_grazing,15,mid_Mar,35,130,TEAGASC_CLOVER_DAIRY_TODAYS_FARM_2026,SW=soiled water in source table where zero chemical N. Legal N ceiling always overrides. No interpolation between clover classes.
dairy_grazing,15,mid_Apr,20,130,TEAGASC_CLOVER_DAIRY_TODAYS_FARM_2026,SW=soiled water in source table where zero chemical N. Legal N ceiling always overrides. No interpolation between clover classes.
dairy_grazing,15,mid_May,15,130,TEAGASC_CLOVER_DAIRY_TODAYS_FARM_2026,SW=soiled water in source table where zero chemical N. Legal N ceiling always overrides. No interpolation between clover classes.
dairy_grazing,15,mid_Jun,SW,130,TEAGASC_CLOVER_DAIRY_TODAYS_FARM_2026,SW=soiled water in source table where zero chemical N. Legal N ceiling always overrides. No interpolation between clover classes.
dairy_grazing,15,mid_Jul,SW,130,TEAGASC_CLOVER_DAIRY_TODAYS_FARM_2026,SW=soiled water in source table where zero chemical N. Legal N ceiling always overrides. No interpolation between clover classes.
dairy_grazing,15,mid_Aug,10,130,TEAGASC_CLOVER_DAIRY_TODAYS_FARM_2026,SW=soiled water in source table where zero chemical N. Legal N ceiling always overrides. No interpolation between clover classes.
dairy_grazing,15,mid_Sep,20,130,TEAGASC_CLOVER_DAIRY_TODAYS_FARM_2026,SW=soiled water in source table where zero chemical N. Legal N ceiling always overrides. No interpolation between clover classes.
dairy_grazing,20,Feb,20,105,TEAGASC_CLOVER_DAIRY_TODAYS_FARM_2026,SW=soiled water in source table where zero chemical N. Legal N ceiling always overrides. No interpolation between clover classes.
dairy_grazing,20,mid_Mar,35,105,TEAGASC_CLOVER_DAIRY_TODAYS_FARM_2026,SW=soiled water in source table where zero chemical N. Legal N ceiling always overrides. No interpolation between clover classes.
dairy_grazing,20,mid_Apr,20,105,TEAGASC_CLOVER_DAIRY_TODAYS_FARM_2026,SW=soiled water in source table where zero chemical N. Legal N ceiling always overrides. No interpolation between clover classes.
dairy_grazing,20,mid_May,15,105,TEAGASC_CLOVER_DAIRY_TODAYS_FARM_2026,SW=soiled water in source table where zero chemical N. Legal N ceiling always overrides. No interpolation between clover classes.
dairy_grazing,20,mid_Jun,SW,105,TEAGASC_CLOVER_DAIRY_TODAYS_FARM_2026,SW=soiled water in source table where zero chemical N. Legal N ceiling always overrides. No interpolation between clover classes.
dairy_grazing,20,mid_Jul,SW,105,TEAGASC_CLOVER_DAIRY_TODAYS_FARM_2026,SW=soiled water in source table where zero chemical N. Legal N ceiling always overrides. No interpolation between clover classes.
dairy_grazing,20,mid_Aug,SW,105,TEAGASC_CLOVER_DAIRY_TODAYS_FARM_2026,SW=soiled water in source table where zero chemical N. Legal N ceiling always overrides. No interpolation between clover classes.
dairy_grazing,20,mid_Sep,15,105,TEAGASC_CLOVER_DAIRY_TODAYS_FARM_2026,SW=soiled water in source table where zero chemical N. Legal N ceiling always overrides. No interpolation between clover classes.
