Seq,Chapter,Source PDF Page,Table Number,Detected Title,Row #,Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Col_18,Col_19,Col_20,Col_21,Col_22,Col_23,Col_24,Col_25,Col_26,Col_27,Col_28,Col_29
23,9 Organic Materials,48,,"Table9-8:TypicalavailableN,P, andK applied(kg/ha)1, 2, 3, 4depending on cattle slurry dry matter content and application rate4",4,,,--------------------------------------------kg/ha--------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,
23,9 Organic Materials,48,,"Table9-8:TypicalavailableN,P, andK applied(kg/ha)1, 2, 3, 4depending on cattle slurry dry matter content and application rate4",5,,,N2,P3,K3,N2,P3,K3,N2,P3,K3,N2,P3,K3,,,,,,,,,,,,,,,
23,9 Organic Materials,48,,"Table9-8:TypicalavailableN,P, andK applied(kg/ha)1, 2, 3, 4depending on cattle slurry dry matter content and application rate4",6,,11 t/ha,5,4,23,8,5,32,10,7,40,12,8,49,,,,,,,,,,,,,,,
23,9 Organic Materials,48,,"Table9-8:TypicalavailableN,P, andK applied(kg/ha)1, 2, 3, 4depending on cattle slurry dry matter content and application rate4",7,,22 t/ha,11,7,47,15,10,64,20,13,80,24,16,97,,,,,,,,,,,,,,,
23,9 Organic Materials,48,,"Table9-8:TypicalavailableN,P, andK applied(kg/ha)1, 2, 3, 4depending on cattle slurry dry matter content and application rate4",8,,33 t/ha,16,11,70,23,15,95,30,20,121,37,25,146,,,,,,,,,,,,,,,
23,9 Organic Materials,48,,"Table9-8:TypicalavailableN,P, andK applied(kg/ha)1, 2, 3, 4depending on cattle slurry dry matter content and application rate4",9,,44 t/ha,21,15,93,31,21,127,40,27,161,49,33,195,,,,,,,,,,,,,,,
23,9 Organic Materials,48,,"Table9-8:TypicalavailableN,P, andK applied(kg/ha)1, 2, 3, 4depending on cattle slurry dry matter content and application rate4",10,,55 t/ha,27,18,116,38,26,159,50,33,201,61,41,244,,,,,,,,,,,,,,,
23,9 Organic Materials,48,,"Table9-8:TypicalavailableN,P, andK applied(kg/ha)1, 2, 3, 4depending on cattle slurry dry matter content and application rate4",11,,1. Cattle slurry nutrient values are based on Table 9-1from an on-farm survey of cattle,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,9 Organic Materials,48,,"Table9-8:TypicalavailableN,P, andK applied(kg/ha)1, 2, 3, 4depending on cattle slurry dry matter content and application rate4",12,,"slurry on Irish dairy and beef farms (Berry et al., 2013). Note that total nutrient",,,,,,,,,,,,,,,,,,,,,,,,,,,
23,9 Organic Materials,48,,"Table9-8:TypicalavailableN,P, andK applied(kg/ha)1, 2, 3, 4depending on cattle slurry dry matter content and application rate4",13,,content in slurrycan vary between farms.,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,9 Organic Materials,48,,"Table9-8:TypicalavailableN,P, andK applied(kg/ha)1, 2, 3, 4depending on cattle slurry dry matter content and application rate4",14,,2. N availability values are based on spring application using splashplate assuming,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,9 Organic Materials,48,,"Table9-8:TypicalavailableN,P, andK applied(kg/ha)1, 2, 3, 4depending on cattle slurry dry matter content and application rate4",15,,30% NFRVas per table9-2.,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,9 Organic Materials,48,,"Table9-8:TypicalavailableN,P, andK applied(kg/ha)1, 2, 3, 4depending on cattle slurry dry matter content and application rate4",16,,3. P and K are calculated at 100% availability (i.e. fertilizer replacement value) as per,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,9 Organic Materials,48,,"Table9-8:TypicalavailableN,P, andK applied(kg/ha)1, 2, 3, 4depending on cattle slurry dry matter content and application rate4",17,,"soil P Index 3. However, where slurry is applied to low P and K fertility soils (Index 1",,,,,,,,,,,,,,,,,,,,,,,,,,,
23,9 Organic Materials,48,,"Table9-8:TypicalavailableN,P, andK applied(kg/ha)1, 2, 3, 4depending on cattle slurry dry matter content and application rate4",18,,and 2) the P fertilizer replacement value can be assumed to be 50% and K fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,9 Organic Materials,48,,"Table9-8:TypicalavailableN,P, andK applied(kg/ha)1, 2, 3, 4depending on cattle slurry dry matter content and application rate4",19,,replacement value can be assumed to be 90% and application rates should be,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,9 Organic Materials,48,,"Table9-8:TypicalavailableN,P, andK applied(kg/ha)1, 2, 3, 4depending on cattle slurry dry matter content and application rate4",20,,adjusted accordingly.,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,9 Organic Materials,48,,"Table9-8:TypicalavailableN,P, andK applied(kg/ha)1, 2, 3, 4depending on cattle slurry dry matter content and application rate4",21,,4. 1 tonne slurry = 1000 litres = 1 m3. 1000 gallons = 4.5 tonnes. 1000 gallons/acre =,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,9 Organic Materials,48,,"Table9-8:TypicalavailableN,P, andK applied(kg/ha)1, 2, 3, 4depending on cattle slurry dry matter content and application rate4",22,,11 tonnes/ha.Kg/ha x 0.8 = units/ac(See Appendix 1).,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,12 Grassland Nitrogen,67,,"Table12-1:Suggestedtiming of available N applications forgrassswards,with lowlevels (<15%)or,no,cloverpresent,grazed bydairy cowsat various stocking rates",1,"Table12-1:Suggestedtiming of available N applications forgrassswards,with lowlevels (<15%)or,no,cloverpresent,grazed bydairy cowsat various stocking rates",,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,12 Grassland Nitrogen,67,,"Table12-1:Suggestedtiming of available N applications forgrassswards,with lowlevels (<15%)or,no,cloverpresent,grazed bydairy cowsat various stocking rates",2,,,,------------------------ N rates1(kg/ha) for approximate application dates ----------------------,,,,,,,,,,,,,,,,,,,,,,,,,
32,12 Grassland Nitrogen,67,,"Table12-1:Suggestedtiming of available N applications forgrassswards,with lowlevels (<15%)or,no,cloverpresent,grazed bydairy cowsat various stocking rates",3,Stocking rate LU/ha2kg/ha N3,Stocking rate,,,"Jan4, 5 / Feb",,March,,April,,May,,June,,July,,Aug,,"Sept4, 5",,Total N,,,,,,,,
32,12 Grassland Nitrogen,67,,"Table12-1:Suggestedtiming of available N applications forgrassswards,with lowlevels (<15%)or,no,cloverpresent,grazed bydairy cowsat various stocking rates",4,,,,,,,,,,,,,,,,,,,,,"Rate1,6",,,,,,,,
32,12 Grassland Nitrogen,67,,"Table12-1:Suggestedtiming of available N applications forgrassswards,with lowlevels (<15%)or,no,cloverpresent,grazed bydairy cowsat various stocking rates",5,,LU/ha2kg/ha N,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,12 Grassland Nitrogen,67,,"Table12-1:Suggestedtiming of available N applications forgrassswards,with lowlevels (<15%)or,no,cloverpresent,grazed bydairy cowsat various stocking rates",6,,,,,,,,,,,,,,,,,,,,,(kg/ha),,,,,,,,
32,12 Grassland Nitrogen,67,,"Table12-1:Suggestedtiming of available N applications forgrassswards,with lowlevels (<15%)or,no,cloverpresent,grazed bydairy cowsat various stocking rates",7,,<1.0,,≤85,,,,,,25,,,,15,,,,,,,40,,,,,,,,
32,12 Grassland Nitrogen,67,,"Table12-1:Suggestedtiming of available N applications forgrassswards,with lowlevels (<15%)or,no,cloverpresent,grazed bydairy cowsat various stocking rates",8,,1.25,,106,,,,15,,28,,15,,15,,,,,,,73,,,,,,,,
32,12 Grassland Nitrogen,67,,"Table12-1:Suggestedtiming of available N applications forgrassswards,with lowlevels (<15%)or,no,cloverpresent,grazed bydairy cowsat various stocking rates",9,,1.5,,128,,,,28,,35,,25,,23,,,,,,,111,,,,,,,,
32,12 Grassland Nitrogen,67,,"Table12-1:Suggestedtiming of available N applications forgrassswards,with lowlevels (<15%)or,no,cloverpresent,grazed bydairy cowsat various stocking rates",10,,1.75,,149,,,,29,,,,26,,26,,,,17,,,142,,,,,,,,
32,12 Grassland Nitrogen,67,,"Table12-1:Suggestedtiming of available N applications forgrassswards,with lowlevels (<15%)or,no,cloverpresent,grazed bydairy cowsat various stocking rates",11,,2.0,,170,,,,34,,53,,42,,42,,,,31,,,202,,,,,,,,
32,12 Grassland Nitrogen,67,,"Table12-1:Suggestedtiming of available N applications forgrassswards,with lowlevels (<15%)or,no,cloverpresent,grazed bydairy cowsat various stocking rates",12,,2.12,,180,,32,,32,,48,,38,,38,,,,28,,,216,,,,,,,,
32,12 Grassland Nitrogen,67,,"Table12-1:Suggestedtiming of available N applications forgrassswards,with lowlevels (<15%)or,no,cloverpresent,grazed bydairy cowsat various stocking rates",13,,2.25,,191,,31,,41,,54,,37,,37,,,,37,,,237,,,,,,,,
32,12 Grassland Nitrogen,67,,"Table12-1:Suggestedtiming of available N applications forgrassswards,with lowlevels (<15%)or,no,cloverpresent,grazed bydairy cowsat various stocking rates",14,,3.35,,200,,30,,53,,53,,37,,37,,37,,,,27,275,,,,,,,,
32,12 Grassland Nitrogen,67,,"Table12-1:Suggestedtiming of available N applications forgrassswards,with lowlevels (<15%)or,no,cloverpresent,grazed bydairy cowsat various stocking rates",15,,2.47,,210,,31,,54,,54,,56,,37,,37,,,,37,306,,,,,,,,
32,12 Grassland Nitrogen,67,,"Table12-1:Suggestedtiming of available N applications forgrassswards,with lowlevels (<15%)or,no,cloverpresent,grazed bydairy cowsat various stocking rates",16,,>2.4,7,≥210,,32,,49,,55,,38,,38,,38,,,,28,2796,,,,,,,,
32,12 Grassland Nitrogen,67,,"Table12-1:Suggestedtiming of available N applications forgrassswards,with lowlevels (<15%)or,no,cloverpresent,grazed bydairy cowsat various stocking rates",17,,1. Rates shown above refer to recommended application of available fertilizer. Chemical fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,12 Grassland Nitrogen,67,,"Table12-1:Suggestedtiming of available N applications forgrassswards,with lowlevels (<15%)or,no,cloverpresent,grazed bydairy cowsat various stocking rates",18,,rates should be calculated by deducting the available N contained in organic fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,12 Grassland Nitrogen,67,,"Table12-1:Suggestedtiming of available N applications forgrassswards,with lowlevels (<15%)or,no,cloverpresent,grazed bydairy cowsat various stocking rates",19,,applications from the rates shown in the table above.,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,12 Grassland Nitrogen,67,,"Table12-1:Suggestedtiming of available N applications forgrassswards,with lowlevels (<15%)or,no,cloverpresent,grazed bydairy cowsat various stocking rates",20,,2. Livestock unit (LU) per ha refers to a mature dairy cow.,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,12 Grassland Nitrogen,67,,"Table12-1:Suggestedtiming of available N applications forgrassswards,with lowlevels (<15%)or,no,cloverpresent,grazed bydairy cowsat various stocking rates",21,,3. Total annual organic nitrogen (kg) excreted by grazing livestock averaged over the net grassland,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,12 Grassland Nitrogen,67,,"Table12-1:Suggestedtiming of available N applications forgrassswards,with lowlevels (<15%)or,no,cloverpresent,grazed bydairy cowsat various stocking rates",22,,area (grazing and silage area). Stocking rate refers to grassland area only.,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,12 Grassland Nitrogen,67,,"Table12-1:Suggestedtiming of available N applications forgrassswards,with lowlevels (<15%)or,no,cloverpresent,grazed bydairy cowsat various stocking rates",23,,"4. Rates shown above refer to grazed swards only, and are not suitable as a guideline value of the",,,,,,,,,,,,,,,,,,,,,,,,,,,
32,12 Grassland Nitrogen,67,,"Table12-1:Suggestedtiming of available N applications forgrassswards,with lowlevels (<15%)or,no,cloverpresent,grazed bydairy cowsat various stocking rates",24,,N requirement for the entire grassland area. The N requirement for the entire grassland area will,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,12 Grassland Nitrogen,67,,"Table12-1:Suggestedtiming of available N applications forgrassswards,with lowlevels (<15%)or,no,cloverpresent,grazed bydairy cowsat various stocking rates",25,,"depend on the proportions of the area that are grazed, or cut as silage or hay.",,,,,,,,,,,,,,,,,,,,,,,,,,,
32,12 Grassland Nitrogen,67,,"Table12-1:Suggestedtiming of available N applications forgrassswards,with lowlevels (<15%)or,no,cloverpresent,grazed bydairy cowsat various stocking rates",26,,5. Chemical or organic fertilizers cannot be applied during periods when application is prohibited by,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,12 Grassland Nitrogen,67,,"Table12-1:Suggestedtiming of available N applications forgrassswards,with lowlevels (<15%)or,no,cloverpresent,grazed bydairy cowsat various stocking rates",27,,NAP regulations.,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,12 Grassland Nitrogen,67,,"Table12-1:Suggestedtiming of available N applications forgrassswards,with lowlevels (<15%)or,no,cloverpresent,grazed bydairy cowsat various stocking rates",28,,"6. At stocking rates above 210 kg/ha organic N, fertiliser N advice is constrained by the NAP",,,,,,,,,,,,,,,,,,,,,,,,,,,
32,12 Grassland Nitrogen,67,,"Table12-1:Suggestedtiming of available N applications forgrassswards,with lowlevels (<15%)or,no,cloverpresent,grazed bydairy cowsat various stocking rates",29,,regulations.,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,12 Grassland Nitrogen,67,,"Table12-1:Suggestedtiming of available N applications forgrassswards,with lowlevels (<15%)or,no,cloverpresent,grazed bydairy cowsat various stocking rates",30,,7. Total N use on the farm must comply with NAP regulations.,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,12 Grassland Nitrogen,69,,Table12-2:Suggestedtiming of available N applications for swards grazed by suckler calf to weaning production systems (weaned within9monthsof age)at various stocking rates,1,Table12-2:Suggestedtiming of available N applications for swards grazed by suckler calf to weaning production systems (weaned within9monthsof age)at various stocking rates,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,12 Grassland Nitrogen,69,,Table12-2:Suggestedtiming of available N applications for swards grazed by suckler calf to weaning production systems (weaned within9monthsof age)at various stocking rates,2,,,---------------------- N rates1(kg/ha) for approximate application dates ---------------------,,,,,,,,,,,,,,,,,,,,,,,,,,
33,12 Grassland Nitrogen,69,,Table12-2:Suggestedtiming of available N applications for swards grazed by suckler calf to weaning production systems (weaned within9monthsof age)at various stocking rates,3,Stocking rate LU/ha2kg/ha N3,Stocking rate,,"Jan4,5 / Feb",March,,April,,May,,June,,July,,Aug,,"Sept4,5",,Total N,,,,,,,,,,
33,12 Grassland Nitrogen,69,,Table12-2:Suggestedtiming of available N applications for swards grazed by suckler calf to weaning production systems (weaned within9monthsof age)at various stocking rates,4,,,,,,,,,,,,,,,,,,,"Rate1,6",,,,,,,,,,
33,12 Grassland Nitrogen,69,,Table12-2:Suggestedtiming of available N applications for swards grazed by suckler calf to weaning production systems (weaned within9monthsof age)at various stocking rates,5,,LU/ha2kg/ha N,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,12 Grassland Nitrogen,69,,Table12-2:Suggestedtiming of available N applications for swards grazed by suckler calf to weaning production systems (weaned within9monthsof age)at various stocking rates,6,,,,,,,,,,,,,,,,,,,(kg/ha),,,,,,,,,,
33,12 Grassland Nitrogen,69,,Table12-2:Suggestedtiming of available N applications for swards grazed by suckler calf to weaning production systems (weaned within9monthsof age)at various stocking rates,7,,≤1.0,≤80,,,20,,,,,,15,,,,,,,35,,,,,,,,,,
33,12 Grassland Nitrogen,69,,Table12-2:Suggestedtiming of available N applications for swards grazed by suckler calf to weaning production systems (weaned within9monthsof age)at various stocking rates,8,,1.25,92,,,15,,17,,,,15,,,,,,,47,,,,,,,,,,
33,12 Grassland Nitrogen,69,,Table12-2:Suggestedtiming of available N applications for swards grazed by suckler calf to weaning production systems (weaned within9monthsof age)at various stocking rates,9,,1.5,110,,,20,,23,,,,23,,,,,,,66,,,,,,,,,,
33,12 Grassland Nitrogen,69,,Table12-2:Suggestedtiming of available N applications for swards grazed by suckler calf to weaning production systems (weaned within9monthsof age)at various stocking rates,10,,1.75,129,,,23,,26,,13,,26,,,,17,,,105,,,,,,,,,,
33,12 Grassland Nitrogen,69,,Table12-2:Suggestedtiming of available N applications for swards grazed by suckler calf to weaning production systems (weaned within9monthsof age)at various stocking rates,11,,2.0,148,,,25,,34,,17,,42,,,,31,,,149,,,,,,,,,,
33,12 Grassland Nitrogen,69,,Table12-2:Suggestedtiming of available N applications for swards grazed by suckler calf to weaning production systems (weaned within9monthsof age)at various stocking rates,12,,2.25,166,,,28,,39,,25,,20,,28,,,,25,165,,,,,,,,,,
33,12 Grassland Nitrogen,69,,Table12-2:Suggestedtiming of available N applications for swards grazed by suckler calf to weaning production systems (weaned within9monthsof age)at various stocking rates,13,,2.5,185,,,34,,44,,25,,30,,33,,,,31,197,,,,,,,,,,
33,12 Grassland Nitrogen,69,,Table12-2:Suggestedtiming of available N applications for swards grazed by suckler calf to weaning production systems (weaned within9monthsof age)at various stocking rates,14,,2.75,218,,,37,,48,,29,,37,,33,,,,33,217,,,,,,,,,,
33,12 Grassland Nitrogen,69,,Table12-2:Suggestedtiming of available N applications for swards grazed by suckler calf to weaning production systems (weaned within9monthsof age)at various stocking rates,15,,3.0,238,,,42,,53,,39,,37,,37,,,,37,245,,,,,,,,,,
33,12 Grassland Nitrogen,69,,Table12-2:Suggestedtiming of available N applications for swards grazed by suckler calf to weaning production systems (weaned within9monthsof age)at various stocking rates,16,,1. Rates shown above refer to recommended application of available fertilizer. Chemical fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,
