zone,county,material,closed_from_mm_dd,closed_through_mm_dd,source_id,exception_rule
B,Clare,organic_fertiliser_other_than_FYM,10-01,01-15,LAW_IE_SI_588_2025,Do not assume date alone is final: statutory exceptional-opening provisions may apply only if formally activated.
B,Clare,farmyard_manure,11-01,01-15,LAW_IE_SI_588_2025,Do not assume date alone is final: statutory exceptional-opening provisions may apply only if formally activated.
B,Galway,chemical_fertiliser,09-15,01-29,LAW_IE_SI_588_2025,Do not assume date alone is final: statutory exceptional-opening provisions may apply only if formally activated.
B,Galway,organic_fertiliser_other_than_FYM,10-01,01-15,LAW_IE_SI_588_2025,Do not assume date alone is final: statutory exceptional-opening provisions may apply only if formally activated.
B,Galway,farmyard_manure,11-01,01-15,LAW_IE_SI_588_2025,Do not assume date alone is final: statutory exceptional-opening provisions may apply only if formally activated.
B,Kerry,chemical_fertiliser,09-15,01-29,LAW_IE_SI_588_2025,Do not assume date alone is final: statutory exceptional-opening provisions may apply only if formally activated.
B,Kerry,organic_fertiliser_other_than_FYM,10-01,01-15,LAW_IE_SI_588_2025,Do not assume date alone is final: statutory exceptional-opening provisions may apply only if formally activated.
B,Kerry,farmyard_manure,11-01,01-15,LAW_IE_SI_588_2025,Do not assume date alone is final: statutory exceptional-opening provisions may apply only if formally activated.
B,Limerick,chemical_fertiliser,09-15,01-29,LAW_IE_SI_588_2025,Do not assume date alone is final: statutory exceptional-opening provisions may apply only if formally activated.
B,Limerick,organic_fertiliser_other_than_FYM,10-01,01-15,LAW_IE_SI_588_2025,Do not assume date alone is final: statutory exceptional-opening provisions may apply only if formally activated.
B,Limerick,farmyard_manure,11-01,01-15,LAW_IE_SI_588_2025,Do not assume date alone is final: statutory exceptional-opening provisions may apply only if formally activated.
B,Longford,chemical_fertiliser,09-15,01-29,LAW_IE_SI_588_2025,Do not assume date alone is final: statutory exceptional-opening provisions may apply only if formally activated.
B,Longford,organic_fertiliser_other_than_FYM,10-01,01-15,LAW_IE_SI_588_2025,Do not assume date alone is final: statutory exceptional-opening provisions may apply only if formally activated.
B,Longford,farmyard_manure,11-01,01-15,LAW_IE_SI_588_2025,Do not assume date alone is final: statutory exceptional-opening provisions may apply only if formally activated.
B,Louth,chemical_fertiliser,09-15,01-29,LAW_IE_SI_588_2025,Do not assume date alone is final: statutory exceptional-opening provisions may apply only if formally activated.
B,Louth,organic_fertiliser_other_than_FYM,10-01,01-15,LAW_IE_SI_588_2025,Do not assume date alone is final: statutory exceptional-opening provisions may apply only if formally activated.
B,Louth,farmyard_manure,11-01,01-15,LAW_IE_SI_588_2025,Do not assume date alone is final: statutory exceptional-opening provisions may apply only if formally activated.
B,Mayo,chemical_fertiliser,09-15,01-29,LAW_IE_SI_588_2025,Do not assume date alone is final: statutory exceptional-opening provisions may apply only if formally activated.
B,Mayo,organic_fertiliser_other_than_FYM,10-01,01-15,LAW_IE_SI_588_2025,Do not assume date alone is final: statutory exceptional-opening provisions may apply only if formally activated.
B,Mayo,farmyard_manure,11-01,01-15,LAW_IE_SI_588_2025,Do not assume date alone is final: statutory exceptional-opening provisions may apply only if formally activated.
B,Meath,chemical_fertiliser,09-15,01-29,LAW_IE_SI_588_2025,Do not assume date alone is final: statutory exceptional-opening provisions may apply only if formally activated.
B,Meath,organic_fertiliser_other_than_FYM,10-01,01-15,LAW_IE_SI_588_2025,Do not assume date alone is final: statutory exceptional-opening provisions may apply only if formally activated.
B,Meath,farmyard_manure,11-01,01-15,LAW_IE_SI_588_2025,Do not assume date alone is final: statutory exceptional-opening provisions may apply only if formally activated.
B,Roscommon,chemical_fertiliser,09-15,01-29,LAW_IE_SI_588_2025,Do not assume date alone is final: statutory exceptional-opening provisions may apply only if formally activated.
B,Roscommon,organic_fertiliser_other_than_FYM,10-01,01-15,LAW_IE_SI_588_2025,Do not assume date alone is final: statutory exceptional-opening provisions may apply only if formally activated.
B,Roscommon,farmyard_manure,11-01,01-15,LAW_IE_SI_588_2025,Do not assume date alone is final: statutory exceptional-opening provisions may apply only if formally activated.
B,Sligo,chemical_fertiliser,09-15,01-29,LAW_IE_SI_588_2025,Do not assume date alone is final: statutory exceptional-opening provisions may apply only if formally activated.
B,Sligo,organic_fertiliser_other_than_FYM,10-01,01-15,LAW_IE_SI_588_2025,Do not assume date alone is final: statutory exceptional-opening provisions may apply only if formally activated.
B,Sligo,farmyard_manure,11-01,01-15,LAW_IE_SI_588_2025,Do not assume date alone is final: statutory exceptional-opening provisions may apply only if formally activated.
B,Westmeath,chemical_fertiliser,09-15,01-29,LAW_IE_SI_588_2025,Do not assume date alone is final: statutory exceptional-opening provisions may apply only if formally activated.
B,Westmeath,organic_fertiliser_other_than_FYM,10-01,01-15,LAW_IE_SI_588_2025,Do not assume date alone is final: statutory exceptional-opening provisions may apply only if formally activated.
B,Westmeath,farmyard_manure,11-01,01-15,LAW_IE_SI_588_2025,Do not assume date alone is final: statutory exceptional-opening provisions may apply only if formally activated.
C,Cavan,chemical_fertiliser,09-15,02-14,LAW_IE_SI_588_2025,Do not assume date alone is final: statutory exceptional-opening provisions may apply only if formally activated.
C,Cavan,organic_fertiliser_other_than_FYM,10-01,01-31,LAW_IE_SI_588_2025,Do not assume date alone is final: statutory exceptional-opening provisions may apply only if formally activated.
C,Cavan,farmyard_manure,11-01,01-31,LAW_IE_SI_588_2025,Do not assume date alone is final: statutory exceptional-opening provisions may apply only if formally activated.
C,Donegal,chemical_fertiliser,09-15,02-14,LAW_IE_SI_588_2025,Do not assume date alone is final: statutory exceptional-opening provisions may apply only if formally activated.
C,Donegal,organic_fertiliser_other_than_FYM,10-01,01-31,LAW_IE_SI_588_2025,Do not assume date alone is final: statutory exceptional-opening provisions may apply only if formally activated.
C,Donegal,farmyard_manure,11-01,01-31,LAW_IE_SI_588_2025,Do not assume date alone is final: statutory exceptional-opening provisions may apply only if formally activated.
C,Leitrim,chemical_fertiliser,09-15,02-14,LAW_IE_SI_588_2025,Do not assume date alone is final: statutory exceptional-opening provisions may apply only if formally activated.
C,Leitrim,organic_fertiliser_other_than_FYM,10-01,01-31,LAW_IE_SI_588_2025,Do not assume date alone is final: statutory exceptional-opening provisions may apply only if formally activated.
C,Leitrim,farmyard_manure,11-01,01-31,LAW_IE_SI_588_2025,Do not assume date alone is final: statutory exceptional-opening provisions may apply only if formally activated.
C,Monaghan,chemical_fertiliser,09-15,02-14,LAW_IE_SI_588_2025,Do not assume date alone is final: statutory exceptional-opening provisions may apply only if formally activated.
C,Monaghan,organic_fertiliser_other_than_FYM,10-01,01-31,LAW_IE_SI_588_2025,Do not assume date alone is final: statutory exceptional-opening provisions may apply only if formally activated.
C,Monaghan,farmyard_manure,11-01,01-31,LAW_IE_SI_588_2025,Do not assume date alone is final: statutory exceptional-opening provisions may apply only if formally activated.
